ticker,name,who,target,entry,signal,horizon_weeks,n,rho,t_nw,top_minus_bottom_pct,top_n,bottom_n,rho_2006_2015,rho_2016_2026,consistent
QQQ,Nasdaq-100,Institutions,price,friday_release,turn,4,950,0.081,2.231,1.690,70,87,0.024,0.108,
QQQ,Nasdaq-100,Institutions,price,friday_release,chg1,8,1049,-0.013,-0.411,-0.076,200,211,-0.074,0.047,
QQQ,Nasdaq-100,Institutions,price,friday_release,chg4,8,1046,-0.035,-0.705,-1.212,203,191,-0.109,0.034,
QQQ,Nasdaq-100,Institutions,price,friday_release,crowd,8,946,-0.045,-0.705,-0.332,193,165,-0.052,-0.004,
QQQ,Nasdaq-100,Institutions,price,friday_release,turn,8,946,0.047,0.999,0.976,70,87,-0.015,0.073,
QQQ,Nasdaq-100,Institutions,price,friday_release,chg1,13,1044,-0.015,-0.475,0.108,199,210,-0.056,0.023,
QQQ,Nasdaq-100,Institutions,price,friday_release,chg4,13,1041,-0.032,-0.649,0.027,203,190,-0.041,-0.024,
QQQ,Nasdaq-100,Institutions,price,friday_release,crowd,13,941,-0.046,-0.664,0.060,193,165,-0.053,-0.018,
QQQ,Nasdaq-100,Institutions,price,friday_release,turn,13,941,0.026,0.550,1.012,70,87,-0.006,0.032,
QQQ,Nasdaq-100,Hedge funds,price,monday_after,chg1,1,1056,-0.042,-1.346,-0.392,160,161,-0.001,-0.076,
QQQ,Nasdaq-100,Hedge funds,price,monday_after,chg4,1,1053,-0.006,-0.189,-0.187,128,146,0.043,-0.050,
QQQ,Nasdaq-100,Hedge funds,price,monday_after,crowd,1,953,-0.056,-1.811,-0.070,110,281,-0.067,-0.014,
QQQ,Nasdaq-100,Hedge funds,price,monday_after,turn,1,953,0.057,1.729,0.683,62,50,0.166,-0.039,
QQQ,Nasdaq-100,Hedge funds,price,monday_after,chg1,4,1053,-0.021,-0.695,-1.111,158,160,0.003,-0.039,
QQQ,Nasdaq-100,Hedge funds,price,monday_after,chg4,4,1050,-0.011,-0.266,-0.248,126,146,-0.003,-0.013,
QQQ,Nasdaq-100,Hedge funds,price,monday_after,crowd,4,950,-0.060,-1.220,-0.024,109,281,-0.055,-0.015,
QQQ,Nasdaq-100,Hedge funds,price,monday_after,turn,4,950,0.086,2.202,2.209,62,50,0.163,0.017,
QQQ,Nasdaq-100,Hedge funds,price,monday_after,chg1,8,1049,-0.035,-1.220,-0.649,156,158,-0.014,-0.050,
QQQ,Nasdaq-100,Hedge funds,price,monday_after,chg4,8,1046,-0.076,-1.652,-0.542,126,144,-0.087,-0.060,
QQQ,Nasdaq-100,Hedge funds,price,monday_after,crowd,8,946,-0.076,-1.258,-0.792,109,277,-0.092,-0.003,
QQQ,Nasdaq-100,Hedge funds,price,monday_after,turn,8,946,0.051,1.109,2.882,60,50,0.120,-0.022,
QQQ,Nasdaq-100,Hedge funds,price,monday_after,chg1,13,1044,-0.035,-1.395,-1.094,155,156,-0.026,-0.040,
QQQ,Nasdaq-100,Hedge funds,price,monday_after,chg4,13,1041,-0.045,-1.091,-0.881,126,142,-0.071,-0.015,
QQQ,Nasdaq-100,Hedge funds,price,monday_after,crowd,13,941,-0.049,-0.681,-0.937,109,272,-0.095,0.035,
QQQ,Nasdaq-100,Hedge funds,price,monday_after,turn,13,941,0.052,1.166,3.217,59,50,0.043,0.037,
QQQ,Nasdaq-100,Hedge funds,price,friday_release,chg1,1,1056,-0.012,-0.389,-0.224,160,161,0.023,-0.044,
QQQ,Nasdaq-100,Hedge funds,price,friday_release,chg4,1,1053,0.004,0.123,-0.179,128,146,0.033,-0.028,
QQQ,Nasdaq-100,Hedge funds,price,friday_release,crowd,1,953,-0.038,-1.218,-0.047,110,281,-0.054,-0.001,
QQQ,Nasdaq-100,Hedge funds,price,friday_release,turn,1,953,0.056,1.717,0.850,62,50,0.156,-0.025,
QQQ,Nasdaq-100,Hedge funds,price,friday_release,chg1,4,1053,-0.006,-0.179,-0.610,158,160,0.009,-0.014,
QQQ,Nasdaq-100,Hedge funds,price,friday_release,chg4,4,1050,-0.013,-0.327,-0.429,126,146,-0.018,-0.002,
QQQ,Nasdaq-100,Hedge funds,price,friday_release,crowd,4,950,-0.047,-0.958,-0.081,109,281,-0.047,0.002,
QQQ,Nasdaq-100,Hedge funds,price,friday_release,turn,4,950,0.069,1.708,2.072,62,50,0.145,-0.000,
QQQ,Nasdaq-100,Hedge funds,price,friday_release,chg1,8,1049,-0.029,-1.036,-0.431,156,158,-0.012,-0.040,
QQQ,Nasdaq-100,Hedge funds,price,friday_release,chg4,8,1046,-0.059,-1.253,-0.541,126,144,-0.067,-0.042,
QQQ,Nasdaq-100,Hedge funds,price,friday_release,crowd,8,946,-0.069,-1.156,-0.800,109,277,-0.073,0.005,
QQQ,Nasdaq-100,Hedge funds,price,friday_release,turn,8,946,0.061,1.385,3.181,60,50,0.118,-0.004,
QQQ,Nasdaq-100,Hedge funds,price,friday_release,chg1,13,1044,-0.036,-1.430,-0.969,155,156,-0.033,-0.036,
QQQ,Nasdaq-100,Hedge funds,price,friday_release,chg4,13,1041,-0.042,-1.036,-1.072,126,142,-0.069,-0.010,
QQQ,Nasdaq-100,Hedge funds,price,friday_release,crowd,13,941,-0.046,-0.643,-1.043,109,272,-0.087,0.037,
QQQ,Nasdaq-100,Hedge funds,price,friday_release,turn,13,941,0.058,1.337,3.539,59,50,0.048,0.045,
UUP,Dollar index,Institutions,price,monday_after,chg1,1,1021,-0.015,-0.498,0.019,267,293,-0.049,0.014,
UUP,Dollar index,Institutions,price,monday_after,chg4,1,1021,-0.005,-0.182,-0.017,274,293,-0.090,0.051,
UUP,Dollar index,Institutions,price,monday_after,crowd,1,953,-0.005,-0.152,-0.040,129,176,-0.016,0.019,
UUP,Dollar index,Institutions,price,monday_after,turn,1,953,-0.031,-1.009,-0.103,69,103,-0.090,0.011,
UUP,Dollar index,Institutions,price,monday_after,chg1,4,1018,0.001,0.021,0.090,266,292,-0.098,0.067,
UUP,Dollar index,Institutions,price,monday_after,chg4,4,1018,0.002,0.046,0.017,274,292,-0.121,0.079,
UUP,Dollar index,Institutions,price,monday_after,crowd,4,950,0.029,0.528,0.191,129,176,0.032,0.043,
UUP,Dollar index,Institutions,price,monday_after,turn,4,950,-0.004,-0.074,0.042,69,103,-0.077,0.060,
UUP,Dollar index,Institutions,price,monday_after,chg1,8,1014,0.029,0.803,0.426,265,289,-0.018,0.068,
UUP,Dollar index,Institutions,price,monday_after,chg4,8,1014,0.038,0.737,0.491,274,289,-0.049,0.095,
UUP,Dollar index,Institutions,price,monday_after,crowd,8,946,0.061,0.791,0.568,128,176,0.120,0.046,
UUP,Dollar index,Institutions,price,monday_after,turn,8,946,-0.013,-0.219,0.088,69,102,-0.100,0.052,
UUP,Dollar index,Institutions,price,monday_after,chg1,13,1009,0.039,1.108,0.590,263,288,-0.005,0.065,
UUP,Dollar index,Institutions,price,monday_after,chg4,13,1009,0.025,0.485,0.354,271,289,-0.009,0.035,
UUP,Dollar index,Institutions,price,monday_after,crowd,13,941,0.029,0.309,0.459,123,176,0.112,0.007,
UUP,Dollar index,Institutions,price,monday_after,turn,13,941,-0.003,-0.039,0.168,69,102,-0.071,0.036,
UUP,Dollar index,Institutions,price,friday_release,chg1,1,1021,-0.017,-0.558,-0.005,267,293,-0.035,0.001,
UUP,Dollar index,Institutions,price,friday_release,chg4,1,1021,-0.005,-0.167,0.054,274,293,-0.099,0.057,
