period,period_type,source,item,value_jpy_m,value_jpy_m_year_ago,yoy_pct,yoy_pct_published
2026-07,MONTH,press_release,E:MANUFACTURES OF METALS,147466,,,21.30
2026-07,MONTH,press_release,E:MECHANICAL HANDLING EQUIP,64471,,,2.80
2026-07,MONTH,press_release,E:MEDICAL PRODUCTS,158330,,,73.60
2026-07,MONTH,press_release,E:METALWORKING MACHINERY,117651,,,25.20
2026-07,MONTH,press_release,E:MOTOR VEHICLES,1786551,,,19.40
2026-07,MONTH,press_release,"E:MOTORCYCLES, AUTOCYCLES",46307,,,14.90
2026-07,MONTH,press_release,E:NON-METALLIC MINERAL WARE,107649,,,13.60
2026-07,MONTH,press_release,E:NONFERROUS METALS,348785,,,47.40
2026-07,MONTH,press_release,E:ORGANIC CHEMICALS,167251,,,12
2026-07,MONTH,press_release,E:PAPER & PAPER MANUFACTURES,31317,,,13.60
2026-07,MONTH,press_release,"E:PARTS OF AUDIO, VISUAL APP.",16633,,,10
2026-07,MONTH,press_release,E:PARTS OF COMPUTER,107031,,,11.20
2026-07,MONTH,press_release,E:PARTS OF MOTOR VEHICLES,336510,,,1.90
2026-07,MONTH,press_release,E:PHOTOGRAPHIC SUPPLIES,95442,,,26.90
2026-07,MONTH,press_release,E:PLASTIC MATERIALS,338645,,,14.10
2026-07,MONTH,press_release,E:POWER GENERATING MACHINE,320530,,,20.40
2026-07,MONTH,press_release,E:PUMP AND CENTRIFUGES,158716,,,7.70
2026-07,MONTH,press_release,E:RUBBER MANUFACTURED,120139,,,13.20
2026-07,MONTH,press_release,"E:SCIENTIFIC, OPTICAL INST",271075,,,16.50
2026-07,MONTH,press_release,E:SEMICON MACHINERY ETC,493950,,,40.70
2026-07,MONTH,press_release,E:SEMICONDUCTORS ETC,862099,,,49.10
2026-07,MONTH,press_release,E:SHIPS,244088,,,87.80
2026-07,MONTH,press_release,"E:TELEPHONY, TELEGRAPHY",34047,,,20.60
2026-07,MONTH,press_release,E:TEXTILE MACHINES,31725,,,17.70
2026-07,MONTH,press_release,"E:TEXTILE YARN, FABRICS",81360,,,14.60
2026-07,MONTH,press_release,I:(COAL N.E.S),213397,,,29.40
2026-07,MONTH,press_release,I:(IC),493295,,,92.60
2026-07,MONTH,press_release,I:(PETROLEUM SPIRITS),188053,,,27.40
2026-07,MONTH,press_release,I:(TELEPHONE SETS),289951,,,61.90
2026-07,MONTH,press_release,I:1 FOODSTUFF,960303,,,6.80
2026-07,MONTH,press_release,I:2 RAW MATERIALS,854231,,,36.40
2026-07,MONTH,press_release,I:3 MINERAL FUELS,2680352,,,53.50
2026-07,MONTH,press_release,I:4 CHEMICALS,1303842,,,19.70
2026-07,MONTH,press_release,I:5 MANUFACTURED GOODS,1047656,,,31.30
2026-07,MONTH,press_release,I:6 MACHINERY,1288725,,,22.40
2026-07,MONTH,press_release,I:7 ELECTRICAL MACHINERY,2035078,,,41.30
2026-07,MONTH,press_release,I:8 TRANSPORT EQUIPMENT,450369,,,13.50
2026-07,MONTH,press_release,I:9 OTHERS,1527163,,,5.10
2026-07,MONTH,press_release,I:AIRCRAFT,71491,,,-16.70
2026-07,MONTH,press_release,I:AREA (ASEAN),1955519,,,30.90
2026-07,MONTH,press_release,I:AREA (EU),1119762,,,-2.30
2026-07,MONTH,press_release,I:AREA AFRICA,179663,,,38
2026-07,MONTH,press_release,I:AREA ASIA,6080380,,,32.10
2026-07,MONTH,press_release,I:AREA AUSTRAL,725706,,,27
2026-07,MONTH,press_release,I:AREA BELGIUM,44218,,,4.70
2026-07,MONTH,press_release,I:AREA BRAZIL,123688,,,9.60
2026-07,MONTH,press_release,I:AREA C&E EURO,167376,,,-3.10
2026-07,MONTH,press_release,I:AREA CANADA,212082,,,43.80
2026-07,MONTH,press_release,I:AREA CHILE,163687,,,53.10
2026-07,MONTH,press_release,I:AREA CHINA,2784685,,,26.20
2026-07,MONTH,press_release,I:AREA FRANCE,164376,,,-18.30
2026-07,MONTH,press_release,I:AREA GERMANY,277148,,,-3.60
2026-07,MONTH,press_release,I:AREA Grand Total,12147718,,,27.90
2026-07,MONTH,press_release,I:AREA HG KONG,11876,,,10.60
2026-07,MONTH,press_release,I:AREA INDIA,126913,,,64.60
2026-07,MONTH,press_release,I:AREA INDNSIA,297354,,,24.50
2026-07,MONTH,press_release,I:AREA IRAN,580,,,395.50
2026-07,MONTH,press_release,I:AREA IRELAND,76051,,,-25.80
2026-07,MONTH,press_release,I:AREA ITALY,208093,,,14.10
