Exp or Imp,Year,HS,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
1,2026,'551643000',SM,KG,63208,6125,52084,2348,226,1848,17393,1167,12444,5082,371,3833,15264,1736,12112,16021,1623,13399,2543,317,2835,4557,685,5613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'551644000',SM,KG,3142,351,3973,0,0,0,0,0,0,0,0,0,2064,218,2780,798,85,883,0,0,0,280,48,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'551691000',SM,KG,6944,776,6983,1419,141,1158,559,71,213,553,71,454,1578,183,1915,457,51,344,2378,259,2899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'551692000',SM,KG,58097,9726,54709,17243,2971,17054,3768,749,1877,8720,1265,8407,6922,951,4852,2684,433,2926,11746,2391,12511,7014,966,7082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'551693000',SM,KG,23122,3756,27171,2314,315,2526,5776,1216,8942,3780,565,3050,3724,585,3970,1890,131,1792,2929,518,3273,2709,426,3618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'551694000',SM,KG,923,186,1213,298,53,658,457,91,324,0,0,0,0,0,0,0,0,0,168,42,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'55XXXXXXA',  ,KG,0,54117072,52299407,0,8719012,8764751,0,6572084,6328705,0,10516221,9861489,0,5947727,5751406,0,6633101,6334593,0,5825347,5683524,0,9903580,9574939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'55XXXXXXB',  ,KG,0,15360,127045,0,0,0,0,2880,29097,0,2880,29132,0,960,6835,0,2880,20760,0,2880,20616,0,2880,20605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560121000',  ,KG,0,1732618,2099602,0,272785,294844,0,155258,217620,0,299454,340740,0,212506,270145,0,270908,322518,0,281085,348170,0,240622,305565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560122000',  ,KG,0,1500769,2234094,0,163654,224698,0,183464,284551,0,241049,375565,0,267232,394833,0,175700,238125,0,216674,318917,0,252996,397405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560129000',  ,KG,0,9654,37314,0,1459,2448,0,2337,10204,0,1140,1582,0,1600,8199,0,1200,6094,0,0,0,0,1918,8787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560130000',  ,KG,0,3434932,5575750,0,353760,556063,0,548709,807038,0,573896,867793,0,539921,856543,0,382361,622843,0,444738,841326,0,591547,1024144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560210000',SM,KG,574492,187458,398687,60998,18835,42546,70486,26051,51513,92372,28285,56605,85755,25820,66475,75782,25646,59132,116789,38484,71629,72310,24337,50787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560221000',SM,KG,104850,43921,256880,18152,5771,31052,10983,6233,31632,18107,6203,32007,12296,5218,35026,24452,7801,39599,10976,5623,32388,9884,7072,55176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'560229000',SM,KG,917439,244568,667157,110101,26555,99346,96088,25734,60712,139360,38862,118528,149789,32802,101178,104807,26397,86256,139092,33918,104805,178202,60300,96332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
