Exp or Imp,Year,HS,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2026,'590490000',SM,KG,37,84,615,0,0,0,0,0,0,0,0,0,37,84,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'590500000',SM,KG,17988,5699,96771,2863,740,14750,2471,895,11869,3407,875,14313,1771,575,7227,1050,266,9936,2702,706,13963,3724,1642,24713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'590610000',  ,KG,0,2073034,1376595,0,312329,226729,0,326921,183305,0,251922,142739,0,297399,214914,0,245957,182162,0,323276,218407,0,315230,208339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'590691010',  ,KG,0,218,1702,0,0,0,0,171,1168,0,47,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'590691020',  ,KG,0,3367,10285,0,52,207,0,401,1780,0,205,1562,0,0,0,0,881,1274,0,670,3069,0,1158,2393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'590699000',  ,KG,0,554042,661628,0,68353,100244,0,87047,82222,0,75648,74529,0,45657,110216,0,96348,106678,0,115895,105009,0,65094,82730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'590700000',  ,KG,0,102207,480859,0,21732,81152,0,7776,61698,0,9301,41316,0,8884,60508,0,26882,81243,0,11381,60094,0,16251,94848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'590800000',  ,KG,0,2068,18444,0,110,2561,0,18,322,0,42,1642,0,1025,4105,0,108,3083,0,507,4159,0,258,2572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'590900000',  ,KG,0,903923,1478439,0,148762,269366,0,118860,219023,0,139359,212312,0,110709,177873,0,120677,174504,0,97845,141624,0,167711,283737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'591000010',  ,KG,0,719,16367,0,22,289,0,31,852,0,517,12672,0,19,951,0,121,414,0,0,0,0,9,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'591000020',  ,KG,0,280849,1032118,0,49704,166501,0,19530,108323,0,42296,148509,0,40867,130652,0,56637,164363,0,33730,151247,0,38085,162523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'591110010',  ,KG,0,28144,11912,0,2230,708,0,4122,1379,0,3391,1728,0,5377,1856,0,8353,3903,0,2635,1652,0,2036,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'591110090',  ,KG,0,20767,335403,0,2264,72375,0,3719,71859,0,3192,36506,0,5057,61169,0,3642,28642,0,1313,34822,0,1580,30030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'591120000',SM,KG,1849684,86425,1083122,285778,14058,126556,237630,10831,114234,282294,12654,214218,243188,11805,186771,295289,13565,128260,277096,12886,213626,228409,10626,99457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'591131029',  ,KG,0,12530,416771,0,1955,70266,0,1694,57771,0,1606,59338,0,1475,58871,0,1781,50610,0,1865,56105,0,2154,63810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'591132010',  ,KG,0,38883,320644,0,6026,51613,0,6266,53570,0,4771,38026,0,7306,59519,0,4183,33751,0,6592,53300,0,3739,30865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'591132029',  ,KG,0,53036,455187,0,7120,55215,0,7639,55434,0,7488,69707,0,9263,84556,0,3826,39531,0,9452,71808,0,8248,78936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'591140090',  ,KG,0,412676,1260998,0,61617,276432,0,31450,96277,0,84070,180981,0,50528,149097,0,51994,160839,0,63743,164039,0,69274,233333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'591190010',  ,KG,0,454391,267751,0,67586,31439,0,67130,44718,0,40964,18531,0,83054,44757,0,58245,35371,0,59738,39425,0,77674,53510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'591190090',  ,KG,0,5035279,15229081,0,703656,2020253,0,677721,2084352,0,650117,1935317,0,729637,2205413,0,715078,2070979,0,721461,2192982,0,837609,2719785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600110000',  ,KG,0,52470,146264,0,5170,15386,0,5150,7626,0,7838,15101,0,5856,18927,0,7636,22146,0,10389,30913,0,10431,36165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600121000',  ,KG,0,12991,25751,0,658,994,0,0,0,0,36,338,0,3074,4916,0,295,543,0,6410,14298,0,2518,4662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600122000',  ,KG,0,97807,146751,0,13970,18625,0,4801,8767,0,5416,5896,0,26474,42166,0,6535,12128,0,24000,25166,0,16611,34003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600129000',  ,KG,0,486,4052,0,0,0,0,0,0,0,0,0,0,104,923,0,0,0,0,332,2177,0,50,952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600191000',  ,KG,0,16023,37843,0,256,536,0,1995,5730,0,1012,1721,0,1398,2889,0,6378,15796,0,3593,8834,0,1391,2337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600192020',  ,KG,0,134739,231841,0,28660,43501,0,20019,28341,0,10547,20728,0,14961,28419,0,21626,39791,0,20467,36517,0,18459,34544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600192092',  ,KG,0,312766,446112,0,30476,43789,0,39224,52199,0,31002,44850,0,43239,55355,0,42729,67079,0,66510,96709,0,59586,86131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600192094',  ,KG,0,4412,10072,0,612,934,0,339,1047,0,109,348,0,542,858,0,1233,2060,0,492,862,0,1085,3963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600192099',  ,KG,0,912,2061,0,0,0,0,0,0,0,0,0,0,0,0,0,378,707,0,65,712,0,469,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600240020',  ,KG,0,21605,99828,0,2382,11444,0,2977,10557,0,2996,13794,0,3884,17850,0,2629,13543,0,3462,17124,0,3275,15516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600240050',  ,KG,0,6122,23941,0,512,1994,0,750,2158,0,744,3475,0,681,2878,0,1136,2797,0,703,4464,0,1596,6175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600240090',  ,KG,0,52,1283,0,0,0,0,15,419,0,37,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600290011',  ,KG,0,45472,83940,0,2397,5663,0,9449,18607,0,6118,10385,0,6844,16382,0,9545,15929,0,284,470,0,10835,16504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600290021',  ,KG,0,56276,82995,0,1383,3120,0,11951,16604,0,9342,8542,0,4549,10811,0,10595,11841,0,7020,13131,0,11436,18946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600290041',  ,KG,0,4910,11558,0,365,984,0,637,1539,0,760,1758,0,934,2209,0,161,342,0,1199,2559,0,854,2167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600290093',  ,KG,0,0,206,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600310010',  ,KG,0,118,1168,0,0,0,0,33,301,0,0,0,0,0,0,0,0,0,0,35,366,0,50,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600310090',  ,KG,0,304,4209,0,0,0,0,0,0,0,0,0,0,112,1499,0,45,480,0,0,0,0,147,2230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600320090',  ,KG,0,2314,5900,0,570,1059,0,0,0,0,63,1054,0,360,257,0,1113,3321,0,0,0,0,208,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600330010',  ,KG,0,37179,80818,0,12547,20143,0,3464,6880,0,4305,15530,0,5092,11004,0,1279,3813,0,4501,10951,0,5991,12497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600330090',  ,KG,0,548482,827152,0,80467,118141,0,59760,87145,0,55581,93361,0,77611,108647,0,97342,150858,0,95274,147434,0,82447,121566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600340090',  ,KG,0,37,485,0,0,0,0,0,0,0,0,0,0,0,0,0,28,205,0,0,0,0,9,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600410010',  ,KG,0,30798,47088,0,1198,1912,0,3268,5805,0,1249,1883,0,7693,9671,0,6312,11143,0,7482,10218,0,3596,6456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600410020',  ,KG,0,161275,326643,0,21771,42216,0,13201,33835,0,18233,36809,0,23174,54726,0,26325,46608,0,24544,45962,0,34027,66487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600410030',  ,KG,0,28297,69814,0,3356,7322,0,2296,4906,0,4751,10256,0,4192,10776,0,3981,11473,0,4270,10001,0,5451,15080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600410040',  ,KG,0,311487,692337,0,46322,93859,0,43218,102111,0,33988,74470,0,38984,95376,0,46546,115289,0,53232,105199,0,49197,106033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600410090',  ,KG,0,425,4919,0,148,1868,0,51,347,0,0,0,0,84,487,0,94,1804,0,48,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600490021',  ,KG,0,1681,4768,0,0,0,0,0,0,0,0,0,0,587,1657,0,547,1541,0,0,0,0,547,1570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600490033',  ,KG,0,12,394,0,0,0,0,0,0,0,0,0,0,12,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600490041',  ,KG,0,546,1856,0,0,0,0,0,0,0,380,431,0,0,0,0,121,881,0,0,0,0,45,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600490043',  ,KG,0,76,826,0,42,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600490093',  ,KG,0,5,235,0,5,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600521000',  ,KG,0,356,1232,0,245,682,0,0,0,0,111,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600522000',  ,KG,0,2989,10338,0,430,1042,0,56,235,0,599,3238,0,149,346,0,817,2523,0,457,1371,0,481,1583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600523000',  ,KG,0,589,2986,0,51,270,0,0,0,0,78,1050,0,0,0,0,0,0,0,0,0,0,460,1666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600524000',  ,KG,0,851,3960,0,186,595,0,0,0,0,0,0,0,131,701,0,0,0,0,534,2664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600535000',  ,KG,0,445,1528,0,0,0,0,131,468,0,87,281,0,0,0,0,137,479,0,0,0,0,90,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600536000',  ,KG,0,1125899,1055130,0,79786,78401,0,90747,113151,0,92373,111312,0,288909,233743,0,200678,173620,0,237940,205296,0,135466,139607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600537000',  ,KG,0,800184,970368,0,113315,136596,0,89107,105074,0,96385,116350,0,122905,145852,0,123058,156909,0,140651,158003,0,114763,151584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600538000',  ,KG,0,1073861,882267,0,17790,33074,0,61102,77797,0,168653,123539,0,205463,162151,0,275644,213707,0,212564,160562,0,132645,111437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600539000',  ,KG,0,9748,20379,0,2356,3549,0,3235,5448,0,112,975,0,265,1693,0,2471,2800,0,496,3232,0,813,2682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600542000',  ,KG,0,645,2961,0,119,694,0,0,0,0,0,0,0,0,0,0,342,1933,0,0,0,0,184,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600544000',  ,KG,0,11878,70033,0,5522,32664,0,5406,32021,0,388,2269,0,140,444,0,279,1654,0,143,981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600590000',  ,KG,0,168486,122121,0,1974,1369,0,6183,4103,0,43407,40061,0,52637,34156,0,22737,15933,0,31992,19682,0,9556,6817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'600610010',  ,KG,0,3930,29932,0,95,947,0,112,975,0,20,666,0,625,7209,0,2088,12367,0,725,5430,0,265,2338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
