report_month,market,company_id,company_name,industry,rev_month_twd_k,rev_prev_month_twd_k,rev_year_ago_month_twd_k,mom_pct,yoy_pct,rev_cum_twd_k,rev_cum_prev_year_twd_k,cum_yoy_pct,note
2026-07,otc,2756,聯發國際,觀光餐旅,108222,110366,109949,-1.94,-1.57,719302,612116,17.51,-
2026-07,otc,2916,滿心,居家生活,113217,140969,121760,-19.69,-7.02,1118863,1106711,1.10,-
2026-07,otc,2924,宏太-KY,居家生活,2949,3311,6141,-10.93,-51.98,31688,29332,8.03,因本期子公司工程收入及嬰童用品收入較去年同期減少，而子公司累計工程收入較去年同期增加所致
2026-07,otc,2926,誠品生活,文化創意業,568096,613956,573558,-7.47,-0.95,4074729,3897759,4.54,-
2026-07,otc,2937,集雅社,居家生活,472313,461896,374795,2.26,26.02,3096333,2725410,13.61,-
2026-07,otc,2941,米斯特,居家生活,67375,72781,78452,-7.43,-14.12,532731,547153,-2.64,-
2026-07,otc,2947,振宇五金,居家生活,220460,204099,198818,8.02,10.89,1408672,1307820,7.71,-
2026-07,otc,2948,寶陞,居家生活,199666,196666,191266,1.53,4.39,1301108,1276577,1.92,-
2026-07,otc,2949,欣新網,數位雲端,533608,655611,400910,-18.61,33.10,3685435,2967062,24.21,-
2026-07,otc,3064,泰偉,文化創意業,6861,7198,6142,-4.68,11.71,48168,50343,-4.32,-
2026-07,otc,3066,李洲,光電業,21483,26951,53970,-20.29,-60.19,161781,158619,1.99,本月合併營收較去年同期減少，主要係因去年同期進行半導體晶片庫存去化。
2026-07,otc,3067,全域,居家生活,4736,1365,5897,246.96,-19.69,37495,32696,14.68,-
2026-07,otc,3071,協禧,電腦及週邊設備業,258660,277274,188617,-6.71,37.14,1772370,1308777,35.42,-
2026-07,otc,3073,天方能源,綠能環保,52881,9780,4378,440.71,1107.88,142902,34463,314.65,營收增加主要為認列新電廠之試運轉期收入。
2026-07,otc,3078,僑威,電子零組件業,454323,408528,900908,11.21,-49.57,3664430,6868353,-46.65,-
2026-07,otc,3081,聯亞,通信網路業,501210,420507,181246,19.19,176.54,2626778,1188843,120.95,數據中心產品出貨量較同期增加
2026-07,otc,3083,網龍,文化創意業,27795,36468,37102,-23.78,-25.08,214851,207107,3.74,-
2026-07,otc,3085,新零售,數位雲端,5353,7141,4119,-25.04,29.96,39910,30282,31.79,-
2026-07,otc,3086,華義*,文化創意業,8957,10811,15862,-17.15,-43.53,78460,95208,-17.59,-
2026-07,otc,3088,艾訊,電腦及週邊設備業,944420,804930,565803,17.33,66.92,5557768,3820369,45.48,月營收較去年同期成長66.92%，主要係台灣及美洲地區專案訂單出貨增加所致。
2026-07,otc,3093,港建*,其他電子業,248629,194354,229150,27.93,8.50,1014490,1378380,-26.40,-
2026-07,otc,3095,及成,通信網路業,53089,67613,55737,-21.48,-4.75,412379,349658,17.94,-
2026-07,otc,3105,穩懋,半導體業,1892049,1767694,1442357,7.03,31.18,11739377,8798558,33.42,-
2026-07,otc,3114,好德,電子零組件業,298699,262676,254190,13.71,17.51,1856833,1777403,4.47,-
2026-07,otc,3115,富榮綱,電子零組件業,339,814,233,-58.35,45.49,4286,1518,182.35,去年受限於發票開立額度，今年配合業務擴展需求向稅局申請發票增量致營收增加。
2026-07,otc,3118,進階,生技醫療業,65528,54725,62115,19.74,5.49,386738,410551,-5.80,-
2026-07,otc,3122,笙泉,半導體業,22289,25388,25271,-12.21,-11.80,184679,192019,-3.82,-
2026-07,otc,3128,昇銳,光電業,62980,67750,83207,-7.04,-24.31,545637,644814,-15.38,-
2026-07,otc,3131,弘塑,半導體業,792895,631051,556771,25.65,42.41,4115803,3427846,20.07,-
2026-07,otc,3141,晶宏,半導體業,215671,186093,154490,15.89,39.60,1100853,948942,16.01,-
2026-07,otc,3147,大綜,資訊服務業,1565626,1754637,720023,-10.77,117.44,10421304,5180557,101.16,主要係出貨處於高峰期，致本月營收與累計營收較去年同期大幅增加。
2026-07,otc,3152,璟德,通信網路業,145418,143118,115238,1.61,26.19,904209,858071,5.38,-
2026-07,otc,3158,嘉實,資訊服務業,106191,114761,79921,-7.47,32.87,662569,557012,18.95,-
2026-07,otc,3162,精確,電機機械,1076152,897696,606160,19.88,77.54,5406538,4339219,24.60,訂單量增加
2026-07,otc,3163,波若威,通信網路業,210064,181188,163280,15.94,28.65,1458010,1225675,18.96,-
2026-07,otc,3169,亞信,半導體業,91252,85649,74538,6.54,22.42,586513,559944,4.74,-
2026-07,otc,3171,炎洲流通,居家生活,218169,249523,192574,-12.57,13.29,1631226,924044,76.53,合併營收增加主係因收購新增合併個體子公司營收所致
2026-07,otc,3176,基亞,生技醫療業,96429,94848,115390,1.67,-16.43,642669,974589,-34.06,-
2026-07,otc,3178,公準,半導體業,135120,130587,105593,3.47,27.96,797570,751641,6.11,-
2026-07,otc,3188,鑫龍騰,建材營造,221791,239968,471765,-7.57,-52.99,2752920,778488,253.62,完工建案陸續交屋中
2026-07,otc,3191,雲嘉南,電子零組件業,17086,16691,15377,2.37,11.11,106442,100663,5.74,-
2026-07,otc,3205,佰研,生技醫療業,31430,40794,36616,-22.95,-14.16,366669,250247,46.52,-
2026-07,otc,3206,志豐,電子零組件業,350691,277642,274064,26.31,27.96,1957685,2011472,-2.67,-
2026-07,otc,3207,耀勝,電子零組件業,150528,119790,174019,25.66,-13.50,974390,1041359,-6.43,-
2026-07,otc,3211,順達,電腦及週邊設備業,1228732,1268072,1016461,-3.10,20.88,8064545,6628635,21.66,-
2026-07,otc,3213,茂訊,電腦及週邊設備業,366207,335433,214943,9.17,70.37,2102584,1746956,20.36,"系統事業部 218,086 仟元/通路事業部 148,121 仟元"
2026-07,otc,3217,優群,電子零組件業,340711,324206,355425,5.09,-4.14,2236052,2332876,-4.15,-
2026-07,otc,3218,大學光,生技醫療業,405819,375355,340063,8.12,19.34,2622114,2486227,5.47,-
2026-07,otc,3219,倚強科,其他電子業,243178,237159,206124,2.54,17.98,1380072,1024443,34.71,-
2026-07,otc,3221,台嘉碩,通信網路業,250686,226134,179475,10.86,39.68,1456153,1286766,13.16,-
2026-07,otc,3224,三顧,電子通路業,199422,141027,133949,41.41,48.88,1026801,892889,15.00,-
2026-07,otc,3226,龍鋒,電機機械,186791,82634,125371,126.05,48.99,821914,1093205,-24.82,-
2026-07,otc,3227,原相,半導體業,893048,820339,722713,8.86,23.57,5640666,5351449,5.40,-
2026-07,otc,3228,金麗科,半導體業,34278,34669,26871,-1.13,27.57,205915,182435,12.87,-
2026-07,otc,3230,錦明,光電業,41635,32731,33190,27.20,25.44,245082,242537,1.05,-
2026-07,otc,3232,昱捷,電子通路業,92971,75124,72763,23.76,27.77,601868,562827,6.94,-
2026-07,otc,3234,光環,通信網路業,96043,76706,48767,25.21,96.94,475039,408102,16.40,主要受客戶訂單需求增加影響
2026-07,otc,3236,千如,電子零組件業,247607,187493,182689,32.06,35.53,1408564,1160138,21.41,-
2026-07,otc,3252,海灣,觀光餐旅,25193,35901,37533,-29.83,-32.88,281130,289368,-2.85,-
2026-07,otc,3259,鑫創,半導體業,21161,16247,19567,30.25,8.15,126327,124344,1.59,-
2026-07,otc,3260,威剛,半導體業,18379079,14661310,4261406,25.36,331.29,82650603,26945572,206.73,記憶體售價上漲
2026-07,otc,3264,欣銓,半導體業,1766652,1552011,1160261,13.83,52.26,10283721,7796555,31.90,受市場需求增加及新廠開始量產影響
2026-07,otc,3265,台星科,半導體業,421419,433842,395506,-2.86,6.55,3136800,2649950,18.37,-
2026-07,otc,3268,海德威,半導體業,84243,94802,84011,-11.14,0.28,597826,566537,5.52,-
2026-07,otc,3272,東碩,電腦及週邊設備業,257522,323454,196722,-20.38,30.91,1655500,1727956,-4.19,-
2026-07,otc,3276,宇環,電子零組件業,80818,69367,45022,16.51,79.51,411652,302191,36.22,因市場需求增加
2026-07,otc,3284,太普高,其他,66004,63376,62649,4.15,5.36,486191,498724,-2.51,-
2026-07,otc,3285,微端,其他電子業,104722,122118,53438,-14.25,95.97,663241,359657,84.41,因醫療產品及PCB鑽孔設備銷售量增加，致使整體營收較去年同期增加。
2026-07,otc,3287,廣寰科,電腦及週邊設備業,76069,65663,74202,15.85,2.52,510304,484286,5.37,-
2026-07,otc,3288,點晶,電子零組件業,5419,8366,3162,-35.23,71.38,44521,38541,15.52,去年同期基期較低
2026-07,otc,3289,宜特,其他電子業,400151,426314,415163,-6.14,-3.62,2667130,2750688,-3.04,-
