report_month,market,company_id,company_name,industry,rev_month_twd_k,rev_prev_month_twd_k,rev_year_ago_month_twd_k,mom_pct,yoy_pct,rev_cum_twd_k,rev_cum_prev_year_twd_k,cum_yoy_pct,note
2026-07,sii,3557,嘉威,居家生活,210515,366867,207469,-42.62,1.47,2605816,2923923,-10.88,-
2026-07,sii,3563,牧德,光電業,359659,355108,272791,1.28,31.84,2270703,2034529,11.61,-
2026-07,sii,3576,聯合再生,光電業,307968,208221,178275,47.90,72.75,1586083,1861980,-14.82,太陽能專案工程收入增加，以致本月營收較去年同月增加。
2026-07,sii,3583,辛耘,半導體業,973288,1034997,913176,-5.96,6.58,7088652,6639502,6.76,-
2026-07,sii,3588,通嘉,半導體業,153552,147830,103748,3.87,48.00,984994,791685,24.42,-
2026-07,sii,3591,艾笛森,光電業,269503,241900,209679,11.41,28.53,1541436,1396705,10.36,-
2026-07,sii,3592,瑞鼎,半導體業,2100048,2230464,1842611,-5.85,13.97,14358504,13518740,6.21,-
2026-07,sii,3593,力銘,電子零組件業,60838,52897,86703,15.01,-29.83,390259,727234,-46.34,-
2026-07,sii,3596,智易,通信網路業,4846705,4737570,4498639,2.30,7.74,31513133,30663851,2.77,-
2026-07,sii,3605,宏致,電子零組件業,1154175,1117512,889148,3.28,29.81,7326065,6253445,17.15,-
2026-07,sii,3607,谷崧,電子零組件業,251098,271469,240060,-7.50,4.60,1674147,1688498,-0.85,-
2026-07,sii,3617,碩天,其他電子業,1247424,1232245,1098257,1.23,13.58,7518120,6857024,9.64,-
2026-07,sii,3622,洋華,光電業,143912,146517,153146,-1.78,-6.03,929046,963306,-3.56,-
2026-07,sii,3645,達邁,電子零組件業,140604,217714,208522,-35.42,-32.57,1385303,1405734,-1.45,-
2026-07,sii,3652,精聯,電腦及週邊設備業,253924,253854,219631,0.03,15.61,1635580,1406924,16.25,-
2026-07,sii,3653,健策,電子零組件業,3213171,2649918,1682644,21.26,90.96,15792903,11616350,35.95,因客戶端需求成長，致本月較去年同期增加百分比達50%以上。
2026-07,sii,3661,世芯-KY,半導體業,7433152,3572404,2637889,108.07,181.78,19173152,22236743,-13.78,本月營收較去年同期增加，係因量產產品增加所致。
2026-07,sii,3665,貿聯-KY,其他電子業,9630165,8518109,6034282,13.06,59.59,53740718,38961113,37.93,高效能運算和半導體客戶出貨量持續強勁
2026-07,sii,3669,圓展,通信網路業,230577,262821,199964,-12.27,15.31,1632803,1442662,13.18,-
2026-07,sii,3673,TPK-KY,光電業,6394077,6284949,5480708,1.74,16.67,43518882,37798963,15.13,-
2026-07,sii,3679,新至陞,電子零組件業,420332,354620,355061,18.53,18.38,2501749,2684330,-6.80,-
2026-07,sii,3686,達能,半導體業,7950,10116,7992,-21.41,-0.53,52829,47684,10.79,-
2026-07,sii,3694,海華,通信網路業,842256,1001922,1076620,-15.94,-21.77,6750531,6534766,3.30,-
2026-07,sii,3701,大眾控,電腦及週邊設備業,883895,675088,828265,30.93,6.72,4928021,6208747,-20.63,-
2026-07,sii,3702,大聯大,電子通路業,146095597,192916333,76556706,-24.27,90.83,920874250,575842577,59.92,全球科技與能源設施擴建帶動半導體及電子零組件動能，車用、工控需求穩步推進，智能倉儲管理與資訊系統整合服務需求同步擴增。
2026-07,sii,3703,欣陸,建材營造,2336895,2614212,2593216,-10.61,-9.88,16122930,17716612,-9.00,-
2026-07,sii,3704,合勤控,通信網路業,1916606,3463520,2171818,-44.66,-11.75,16978095,15393669,10.29,-
2026-07,sii,3705,永信,生技醫療業,719465,577868,700432,24.50,2.72,4490011,5005017,-10.29,-
2026-07,sii,3706,神達,電腦及週邊設備業,12833645,15682685,8571058,-18.17,49.73,85651839,58860391,45.52,-
2026-07,sii,3708,上緯投控,綠能環保,133276,158016,66578,-15.66,100.18,721218,666615,8.19,循環經濟材料及先進材料需求增加
2026-07,sii,3711,日月光投控,半導體業,73783701,65783102,51542033,12.16,43.15,438509375,350445618,25.13,-
2026-07,sii,3712,永崴投控,電腦及週邊設備業,3356888,762747,1866514,340.11,79.85,13005429,17355157,-25.06,主要係因子公司承接工程案件依進度認列收入
2026-07,sii,3714,富采,光電業,2388026,2133834,1911669,11.91,24.92,13957074,13283763,5.07,-
2026-07,sii,3715,定穎投控,電子零組件業,2531248,2289779,1492035,10.55,69.65,15039359,10673497,40.90,係產品組合優化及受惠於漲價效應
2026-07,sii,3716,中化控股,生技醫療業,669823,663752,646986,0.91,3.53,4898126,5011944,-2.27,-
2026-07,sii,3717,聯嘉投控,汽車工業,513299,552428,0,-7.08,,4045787,0,,聯嘉光電投控（公司代號：3717）於114年8月份起100%認列聯嘉光電（原公司代號：6288）的營收。
2026-07,sii,4104,佳醫,生技醫療業,843458,893588,713083,-5.61,18.28,5572294,5027368,10.84,"一一五年六月因佳醫創照健康股份有限公司及其子公司成為合併個體，使本月營收增加75,606仟元及本年累計營收增加151,082仟元。"
2026-07,sii,4106,雃博,生技醫療業,220706,265782,218114,-16.96,1.19,1477820,1378875,7.18,-
2026-07,sii,4108,懷特,生技醫療業,11893,14283,12398,-16.73,-4.07,82320,73969,11.29,-
2026-07,sii,4119,旭富,生技醫療業,190796,123241,81832,54.82,133.16,839460,813636,3.17,單月營收受客戶訂單出貨時程影響呈現較大波動；但累計營收表現與去年同期相比差異不大。
2026-07,sii,4133,亞諾法,生技醫療業,26309,29336,27998,-10.32,-6.03,202541,210082,-3.59,-
2026-07,sii,4137,麗豐-KY,生技醫療業,318557,349359,309991,-8.82,2.76,2219979,2060572,7.74,-
2026-07,sii,4142,國光生,生技醫療業,308215,37239,239702,727.67,28.58,457289,420419,8.77,-
2026-07,sii,4148,全宇生技-KY,生技醫療業,352962,346721,253305,1.80,39.34,1870743,1526167,22.58,-
2026-07,sii,4155,訊映,生技醫療業,152838,172639,114216,-11.47,33.81,975552,952000,2.47,-
2026-07,sii,4164,承業醫,生技醫療業,326529,329871,287368,-1.01,13.63,2664778,2377073,12.10,-
2026-07,sii,4169,泰宗,生技醫療業,61771,64785,57912,-4.65,6.66,415751,395750,5.05,-
2026-07,sii,4178,永笙-KY,生技醫療業,32419,33793,28519,-4.07,13.68,216864,218888,-0.92,-
2026-07,sii,4190,佐登-KY,生技醫療業,157247,162026,170322,-2.95,-7.68,1231228,1293805,-4.84,-
2026-07,sii,4195,基米-創,生技醫療業,52096,72146,48009,-27.79,8.51,372189,358318,3.87,-
2026-07,sii,4306,炎洲,塑膠工業,1274949,1286195,1107166,-0.87,15.15,8510488,7213060,17.99,-
2026-07,sii,4414,如興,紡織纖維,1564975,1366737,1250369,14.50,25.16,8697087,7914908,9.88,-
2026-07,sii,4426,利勤,紡織纖維,90592,66120,67254,37.01,34.70,527553,503706,4.73,-
2026-07,sii,4438,廣越,紡織纖維,2209017,2025339,1959709,9.07,12.72,10148917,9512327,6.69,-
2026-07,sii,4439,冠星-KY,紡織纖維,813719,860663,613393,-5.45,32.66,4959252,4329557,14.54,-
2026-07,sii,4440,宜新實業,紡織纖維,55277,58898,95692,-6.15,-42.23,588578,559601,5.18,-
2026-07,sii,4441,振大環球,紡織纖維,990237,716929,773701,38.12,27.99,4780302,4199253,13.84,-
2026-07,sii,4526,東台,電機機械,664788,483430,423269,37.51,57.06,3291152,3233394,1.79,本月營收較去年同期增加57.06%，主要係今年接單動能回溫，帶動出貨及營收認列增加所致。
2026-07,sii,4532,瑞智,電機機械,1667832,1974655,1463245,-15.54,13.98,14033266,13597212,3.21,-
2026-07,sii,4536,拓凱,運動休閒,1022962,891246,849735,14.78,20.39,5894037,5765704,2.23,-
2026-07,sii,4540,全球傳動,電機機械,306150,332808,225610,-8.01,35.70,1924491,1340002,43.62,-
2026-07,sii,4545,銘鈺,電子零組件業,205337,217948,218397,-5.79,-5.98,1335413,1411950,-5.42,-
2026-07,sii,4551,智伸科,汽車工業,824857,749868,669977,10.00,23.12,5379562,4505477,19.40,-
2026-07,sii,4552,力達-KY,電機機械,257472,251292,295522,2.46,-12.88,1882551,2038951,-7.67,-
2026-07,sii,4555,氣立,電機機械,182883,169673,136714,7.79,33.77,1079831,934612,15.54,-
2026-07,sii,4557,永新-KY,汽車工業,336993,308849,315198,9.11,6.91,2005303,2470091,-18.82,-
