yyyymm,imex,hs_code,stage,value_jpy_k,quantity1,unit1,quantity2,unit2,source_file,retrieved_at
2026-07,E,851769000,DETAILED,259797,0,,28694,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-01,E,851771000,DETAILED,241077,0,,7015,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-02,E,851771000,DETAILED,228323,0,,8031,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-03,E,851771000,DETAILED,237601,0,,8278,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-04,E,851771000,DETAILED,276969,0,,9960,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-05,E,851771000,DETAILED,235071,0,,7687,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-06,E,851771000,DETAILED,293127,0,,9982,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-07,E,851771000,DETAILED,367906,0,,10612,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-01,E,851779000,DETAILED,6173099,0,,32471,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-02,E,851779000,DETAILED,5585451,0,,26755,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-03,E,851779000,DETAILED,7560544,0,,40706,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-04,E,851779000,DETAILED,4880830,0,,30941,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-05,E,851779000,DETAILED,4207697,0,,28774,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-06,E,851779000,DETAILED,6460707,0,,39681,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-07,E,851779000,DETAILED,5812659,0,,29963,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-01,E,854110100,DETAILED,3639792,0,,3979564,TH,estat_E_2026-07_000040494506.csv,2026-09-02
2026-02,E,854110100,DETAILED,5058558,0,,3814339,TH,estat_E_2026-07_000040494506.csv,2026-09-02
2026-03,E,854110100,DETAILED,3800603,0,,4231022,TH,estat_E_2026-07_000040494506.csv,2026-09-02
2026-04,E,854110100,DETAILED,3811472,0,,4725283,TH,estat_E_2026-07_000040494506.csv,2026-09-02
2026-05,E,854110100,DETAILED,3597134,0,,4443336,TH,estat_E_2026-07_000040494506.csv,2026-09-02
2026-06,E,854110100,DETAILED,3486464,0,,3915546,TH,estat_E_2026-07_000040494506.csv,2026-09-02
2026-07,E,854110100,DETAILED,4222816,0,,4914102,TH,estat_E_2026-07_000040494506.csv,2026-09-02
2026-01,E,854110910,DETAILED,652803,0,,151396423,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-02,E,854110910,DETAILED,605709,0,,200710736,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-03,E,854110910,DETAILED,814849,0,,208540548,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-04,E,854110910,DETAILED,832427,0,,182869014,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-05,E,854110910,DETAILED,623383,0,,131792451,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-06,E,854110910,DETAILED,778039,0,,272258857,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-07,E,854110910,DETAILED,826087,0,,302732875,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-01,E,854110920,DETAILED,2225031,0,,277823465,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-02,E,854110920,DETAILED,2099557,0,,290888470,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-03,E,854110920,DETAILED,2292115,0,,387494924,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-04,E,854110920,DETAILED,2465613,0,,313326640,NO,estat_E_2026-07_000040494506.csv,2026-09-02
