yyyymm,period_type,stage,lang,section,imex,area,name,level,value_jpy_m,value_year_ago_jpy_m,yoy_pct,quantity,unit,qty_yoy_pct,share_pct,contribution_pt,extra_json,retrieved_at
2026-07,MONTH_PROV,4,en,AREA,E,THAILND,THAILND,2,420754,,11.40,,,,,,"{""chiikikuni"": ""THAILND"", ""chiikikunikbn"": ""2"", ""exportkagakue"": ""420,754"", ""exportnobiritsu"": ""11.4"", ""importkagakue"": ""434,392"", ""importnobiritsu"": ""28.1"", ""sashihikikagakue"": ""-13,638"", ""sashihikinobiritsu"": ""-""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,I,THAILND,THAILND,2,434392,,28.10,,,,,,"{""chiikikuni"": ""THAILND"", ""chiikikunikbn"": ""2"", ""exportkagakue"": ""420,754"", ""exportnobiritsu"": ""11.4"", ""importkagakue"": ""434,392"", ""importnobiritsu"": ""28.1"", ""sashihikikagakue"": ""-13,638"", ""sashihikinobiritsu"": ""-""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,BAL,THAILND,THAILND,2,-13638,,,,,,,,"{""chiikikuni"": ""THAILND"", ""chiikikunikbn"": ""2"", ""exportkagakue"": ""420,754"", ""exportnobiritsu"": ""11.4"", ""importkagakue"": ""434,392"", ""importnobiritsu"": ""28.1"", ""sashihikikagakue"": ""-13,638"", ""sashihikinobiritsu"": ""-""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,E,MALYSIA,MALYSIA,2,244404,,29,,,,,,"{""chiikikuni"": ""MALYSIA"", ""chiikikunikbn"": ""2"", ""exportkagakue"": ""244,404"", ""exportnobiritsu"": ""29.0"", ""importkagakue"": ""321,844"", ""importnobiritsu"": ""32.9"", ""sashihikikagakue"": ""-77,440"", ""sashihikinobiritsu"": ""47.1""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,I,MALYSIA,MALYSIA,2,321844,,32.90,,,,,,"{""chiikikuni"": ""MALYSIA"", ""chiikikunikbn"": ""2"", ""exportkagakue"": ""244,404"", ""exportnobiritsu"": ""29.0"", ""importkagakue"": ""321,844"", ""importnobiritsu"": ""32.9"", ""sashihikikagakue"": ""-77,440"", ""sashihikinobiritsu"": ""47.1""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,BAL,MALYSIA,MALYSIA,2,-77440,,47.10,,,,,,"{""chiikikuni"": ""MALYSIA"", ""chiikikunikbn"": ""2"", ""exportkagakue"": ""244,404"", ""exportnobiritsu"": ""29.0"", ""importkagakue"": ""321,844"", ""importnobiritsu"": ""32.9"", ""sashihikikagakue"": ""-77,440"", ""sashihikinobiritsu"": ""47.1""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,E,INDNSIA,INDNSIA,2,190545,,23,,,,,,"{""chiikikuni"": ""INDNSIA"", ""chiikikunikbn"": ""2"", ""exportkagakue"": ""190,545"", ""exportnobiritsu"": ""23.0"", ""importkagakue"": ""297,235"", ""importnobiritsu"": ""24.4"", ""sashihikikagakue"": ""-106,690"", ""sashihikinobiritsu"": ""27.1""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,I,INDNSIA,INDNSIA,2,297235,,24.40,,,,,,"{""chiikikuni"": ""INDNSIA"", ""chiikikunikbn"": ""2"", ""exportkagakue"": ""190,545"", ""exportnobiritsu"": ""23.0"", ""importkagakue"": ""297,235"", ""importnobiritsu"": ""24.4"", ""sashihikikagakue"": ""-106,690"", ""sashihikinobiritsu"": ""27.1""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,BAL,INDNSIA,INDNSIA,2,-106690,,27.10,,,,,,"{""chiikikuni"": ""INDNSIA"", ""chiikikunikbn"": ""2"", ""exportkagakue"": ""190,545"", ""exportnobiritsu"": ""23.0"", ""importkagakue"": ""297,235"", ""importnobiritsu"": ""24.4"", ""sashihikikagakue"": ""-106,690"", ""sashihikinobiritsu"": ""27.1""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,E,PHILPIN,PHILPIN,2,177181,,40.70,,,,,,"{""chiikikuni"": ""PHILPIN"", ""chiikikunikbn"": ""2"", ""exportkagakue"": ""177,181"", ""exportnobiritsu"": ""40.7"", ""importkagakue"": ""161,448"", ""importnobiritsu"": ""23.9"", ""sashihikikagakue"": ""15,733"", ""sashihikinobiritsu"": ""-""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,I,PHILPIN,PHILPIN,2,161448,,23.90,,,,,,"{""chiikikuni"": ""PHILPIN"", ""chiikikunikbn"": ""2"", ""exportkagakue"": ""177,181"", ""exportnobiritsu"": ""40.7"", ""importkagakue"": ""161,448"", ""importnobiritsu"": ""23.9"", ""sashihikikagakue"": ""15,733"", ""sashihikinobiritsu"": ""-""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,BAL,PHILPIN,PHILPIN,2,15733,,,,,,,,"{""chiikikuni"": ""PHILPIN"", ""chiikikunikbn"": ""2"", ""exportkagakue"": ""177,181"", ""exportnobiritsu"": ""40.7"", ""importkagakue"": ""161,448"", ""importnobiritsu"": ""23.9"", ""sashihikikagakue"": ""15,733"", ""sashihikinobiritsu"": ""-""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,E,VIETNAM,VIETNAM,2,298189,,26.30,,,,,,"{""chiikikuni"": ""VIETNAM"", ""chiikikunikbn"": ""2"", ""exportkagakue"": ""298,189"", ""exportnobiritsu"": ""26.3"", ""importkagakue"": ""522,210"", ""importnobiritsu"": ""35.7"", ""sashihikikagakue"": ""-224,021"", ""sashihikinobiritsu"": ""50.7""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,I,VIETNAM,VIETNAM,2,522210,,35.70,,,,,,"{""chiikikuni"": ""VIETNAM"", ""chiikikunikbn"": ""2"", ""exportkagakue"": ""298,189"", ""exportnobiritsu"": ""26.3"", ""importkagakue"": ""522,210"", ""importnobiritsu"": ""35.7"", ""sashihikikagakue"": ""-224,021"", ""sashihikinobiritsu"": ""50.7""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,BAL,VIETNAM,VIETNAM,2,-224021,,50.70,,,,,,"{""chiikikuni"": ""VIETNAM"", ""chiikikunikbn"": ""2"", ""exportkagakue"": ""298,189"", ""exportnobiritsu"": ""26.3"", ""importkagakue"": ""522,210"", ""importnobiritsu"": ""35.7"", ""sashihikikagakue"": ""-224,021"", ""sashihikinobiritsu"": ""50.7""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,E,INDIA,INDIA,2,285000,,12.50,,,,,,"{""chiikikuni"": ""INDIA"", ""chiikikunikbn"": ""2"", ""exportkagakue"": ""285,000"", ""exportnobiritsu"": ""12.5"", ""importkagakue"": ""126,907"", ""importnobiritsu"": ""64.6"", ""sashihikikagakue"": ""158,093"", ""sashihikinobiritsu"": ""-10.3""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,I,INDIA,INDIA,2,126907,,64.60,,,,,,"{""chiikikuni"": ""INDIA"", ""chiikikunikbn"": ""2"", ""exportkagakue"": ""285,000"", ""exportnobiritsu"": ""12.5"", ""importkagakue"": ""126,907"", ""importnobiritsu"": ""64.6"", ""sashihikikagakue"": ""158,093"", ""sashihikinobiritsu"": ""-10.3""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,BAL,INDIA,INDIA,2,158093,,-10.30,,,,,,"{""chiikikuni"": ""INDIA"", ""chiikikunikbn"": ""2"", ""exportkagakue"": ""285,000"", ""exportnobiritsu"": ""12.5"", ""importkagakue"": ""126,907"", ""importnobiritsu"": ""64.6"", ""sashihikikagakue"": ""158,093"", ""sashihikinobiritsu"": ""-10.3""}",2026-09-02
