Date,Open,High,Low,Close,Adjusted_close,Volume
2016-01-06,675.33,682.65,674.37,678.8,554.6761,22394
2016-01-07,676.15,689.95,676.15,689.95,563.7873,30328
2016-01-08,689.29,689.29,674.03,685.82,560.4125,28000
2016-01-11,687,692.32,682.02,691.32,564.9068,25117
2016-01-12,691.68,706.24,687.14,706.24,577.0985,33897
2016-01-13,705,705,671.68,681.9,557.2093,22196
2016-01-14,679.63,704.32,679.63,699.59,571.6645,34653
2016-01-15,694.44,711.99,691.51,710,580.171,38594
2016-01-18,700.69,700.97,690.02,694.36,579.2542,13272
2016-01-19,697.94,713,697.01,711.63,593.6613,26433
2016-01-20,705.11,720.66,693.68,719.05,599.8512,34530
2016-01-21,715.86,721,701.93,717.04,598.1744,48048
2016-01-22,717.08,720.5,701.99,712.99,594.7958,19918
2016-01-25,712.55,717.64,712.55,717.5,598.5582,23972
2016-01-26,717.5,717.5,707.01,710.97,593.1107,23558
2016-01-27,710.1,711.96,706,708.62,591.1502,29139
2016-01-28,710.49,714,709,714,595.6384,23645
2016-01-29,712.24,721.31,712,721.31,601.7366,35244
2016-02-01,718.92,730,718.43,723,603.1464,48007
2016-02-02,719.55,735.57,716,734.91,613.0821,31093
2016-02-03,734,737.5,729,731.92,610.5877,33712
2016-02-04,731.27,731.5,714.02,715.22,596.6561,23911
2016-02-05,714,720,710.01,712.01,593.9783,15288
2016-02-08,711.13,730,705,730,608.986,26282
2016-02-09,727,731.02,726.77,731.02,609.8369,28295
2016-02-10,734.72,735,729.315,734.42,612.6733,27125
2016-02-11,733.01,757.18,733,755,629.8417,56577
2016-02-12,754.86,763.22,747.13,763.22,636.6991,36749
2016-02-16,773,778.83,766,778.83,649.7213,47855
2016-02-17,778.79,780.13,767.42,770,642.3551,44964
2016-02-18,769.26,779.94,768,770.5,642.7722,21109
2016-02-19,765,774,746.26,774,645.692,35015
2016-02-22,776.78,776.78,760,765.23,638.3759,37470
2016-02-23,723.99,726,714.5,721.72,602.0786,68448
2016-02-24,722.17,727.97,719.96,726,605.6491,83550
2016-02-25,727.99,729,716,720.96,601.4446,58388
2016-02-26,720.01,721.35,712.41,718,598.9753,43210
2016-02-29,718.21,722.13,710,715.29,596.7145,51845
2016-03-01,714,720,712.84,719.98,600.6271,46157
2016-03-02,716.5,716.95,706,708.88,591.3671,36378
2016-03-03,710.79,711.87,706.01,710.9,593.0523,25235
2016-03-04,710.09,712.62,703.23,710.32,592.5684,26573
2016-03-07,711.33,713.15,695,700.4,584.2929,36490
2016-03-08,692.08,702.36,686.93,694.33,579.2291,94316
2016-03-09,697,703.5,695.99,701.02,584.8101,48295
2016-03-10,702,704.99,700,704.99,588.122,36838
2016-03-11,708,715,704.03,715,596.4726,33067
2016-03-14,715.99,723,711,721.79,602.137,41630
2016-03-15,718.02,728.99,716.43,725,604.8149,28290
2016-03-16,726.99,728.64,717.56,721.9,602.2288,32720
2016-03-17,720,725.63,707,711.64,593.6696,31949
2016-03-18,711.66,714,695,705.36,588.4307,98391
2016-03-21,706.01,717.26,700.85,712.97,594.7791,20312
2016-03-22,712.97,715,706.21,709,591.4672,22290
2016-03-23,711,715.95,709.12,715.95,597.2651,19311
2016-03-24,718.67,720,711,715.9,597.2234,15286
2016-03-28,715.47,721.79,715,719.99,600.6354,11252
2016-03-29,719.97,722.5,713.3,714,595.6384,18800
2016-03-30,714,718.79,713.51,717.24,598.3413,21195
2016-03-31,718.84,728.24,715,727.07,606.5417,29713
2016-04-01,724.32,728,723.45,728,607.3176,9383
2016-04-04,727.36,727.36,716.45,718.49,599.3841,17105
2016-04-05,717.51,736.54,715.04,735.97,613.9664,29588
2016-04-06,735.32,735.32,714.32,717.49,598.5498,49981
2016-04-07,716.99,719.5,712.99,719.48,600.2099,34241
2016-04-08,720.95,720.95,713.97,719.46,600.1933,26718
2016-04-11,719,724,703.83,703.83,587.1543,16371
2016-04-12,703.83,711.52,700.97,705.11,588.2221,33088
2016-04-13,706.65,716.49,705.05,714.99,596.4643,10403
2016-04-14,713.14,721.04,713.14,721.04,601.5113,26070
2016-04-15,722.94,723,715.45,720.35,600.9357,17284
2016-04-18,722.89,722.89,716.02,716.75,597.9325,15707
2016-04-19,718.44,718.44,691.65,696.73,581.2313,30483
2016-04-20,697,700.9,694.45,700.9,584.71,21543
2016-04-21,703.35,710,702.74,706.5,589.3817,16951
2016-04-22,705.02,710,703.38,708.05,590.6747,17633
2016-04-25,708.14,710,706.99,710,592.3015,9632
2016-04-26,708,710,705.95,709.13,591.5757,29548
2016-04-27,707.04,710.15,707.04,709.95,592.2598,10379
2016-04-28,709,710,704.5,704.5,587.7132,24050
2016-04-29,700,701.8,669,672.5,561.0179,43905
2016-05-02,675.35,676.05,650.02,655.61,546.9278,48990
2016-05-03,651.86,656.73,645.72,653.94,545.5347,44614
2016-05-04,655,657.8,648.98,655,546.419,36791
2016-05-05,652.76,654.59,637.17,647.85,540.4542,31858
2016-05-06,646.44,657.27,638.01,653.4,545.0842,29186
2016-05-09,649.02,653.97,649,650.85,542.9569,21173
2016-05-10,653.02,653.35,647.56,651.14,543.1988,22286
2016-05-11,648,651.97,642.1,644.67,537.8014,15760
2016-05-12,645.08,665,645.08,662.91,553.0177,22170
2016-05-13,663,666.48,659,660.71,551.1824,21096
2016-05-16,662.1,664.56,659.04,661.22,551.6079,15310
2016-05-17,661.19,661.19,655.9,661.03,551.4494,25242
2016-05-18,656.05,661.75,650,660.22,550.7736,19049
