Date,Open,High,Low,Close,Volume
2022-03-24,2.05,2.06,2.0235,2.032,89559743
2022-03-25,2.03,2.044,2.0005,2.037,89122605
2022-03-28,2.035,2.1145,2.035,2.059,109432653
2022-03-29,2.084,2.1883,2.077,2.165,189024893
2022-03-30,2.15,2.158,2.11,2.1225,107172008
2022-03-31,2.132,2.145,2.078,2.0905,77841231
2022-04-01,2.094,2.1195,2.07,2.1025,86603907
2022-04-04,2.1015,2.104,2.061,2.1,88943783
2022-04-05,2.081,2.093,2.0355,2.041,96783370
2022-04-06,2.037,2.0575,1.9522,1.9818,148209440
2022-04-07,1.989,2.032,1.9582,1.962,85492196
2022-04-08,1.99,2.019,1.968,1.9826,103011595
2022-04-11,1.9908,1.998,1.9566,1.9786,78899043
2022-04-12,1.9428,1.9674,1.9162,1.9372,113651864
2022-04-13,1.94,1.9548,1.9244,1.9416,73358020
2022-04-14,2.008,2.008,1.9544,1.9726,92733078
2022-04-19,1.97,1.9812,1.9426,1.9686,73049174
2022-04-20,1.972,2.047,1.967,2.0255,97385013
2022-04-21,2.0285,2.0445,2.011,2.0265,63186497
2022-04-22,1.9982,2.014,1.966,1.9804,95469192
2022-04-25,1.9492,1.9764,1.93,1.9452,85123218
2022-04-26,1.96,1.9674,1.911,1.917,82550807
2022-04-27,1.92,1.928,1.8768,1.9142,137092793
2022-04-28,1.94,1.965,1.9038,1.926,79263372
2022-04-29,1.9412,1.9624,1.9198,1.9448,97640225
2022-05-02,1.9362,1.948,1.896,1.9182,80000325
2022-05-03,1.9398,1.9748,1.9318,1.965,86869370
2022-05-04,1.9654,1.9722,1.9238,1.926,64658140
2022-05-05,1.97,1.9944,1.9178,1.9232,125209363
2022-05-06,1.92,1.94,1.8466,1.874,179906153
2022-05-09,1.8724,1.8788,1.833,1.8334,122362688
2022-05-10,1.8556,1.9008,1.8486,1.865,131776200
2022-05-11,1.88,1.9554,1.8576,1.9468,135841068
2022-05-12,1.902,1.9812,1.8898,1.9758,126244626
2022-05-13,1.975,1.9812,1.962,1.9704,87265173
2022-05-16,1.964,1.978,1.94,1.9482,78491667
2022-05-17,1.97,2.021,1.9586,1.9944,124111536
2022-05-18,1.998,2.004,1.975,1.9856,103354629
2022-05-19,1.966,1.988,1.9486,1.9854,99385967
2022-05-20,2,2.023,1.9706,1.9754,115372385
2022-05-23,1.935,1.9748,1.9268,1.973,114691978
2022-05-24,1.954,2.0056,1.9466,1.9812,130672037
2022-05-25,1.999,2.035,1.9794,2.031,118706683
2022-05-26,2.033,2.0586,2.0194,2.0576,82809843
2022-05-27,2.053,2.062,2.025,2.0514,82915425
2022-05-30,2.055,2.0816,2.046,2.059,86161219
2022-05-31,2.0464,2.057,2.013,2.0286,92563173
2022-06-01,2.048,2.0546,1.998,2.001,79659742
2022-06-02,2.016,2.0176,1.9808,1.9944,43054768
2022-06-03,2.01,2.011,1.9582,1.972,80192465
2022-06-06,1.9888,2.041,1.982,2.0356,81197308
2022-06-07,2.027,2.03,1.9886,2.0024,71882598
2022-06-08,2.001,2.006,1.9782,1.991,75881139
2022-06-09,1.98,2.018,1.9604,1.972,101116678
2022-06-10,1.95,1.954,1.8054,1.8162,248604446
2022-06-13,1.7634,1.767,1.728,1.7538,187498545
2022-06-14,1.7906,1.8076,1.7438,1.7794,125718206
2022-06-15,1.8314,1.9034,1.789,1.8562,183265075
2022-06-16,1.847,1.847,1.7708,1.7954,140875596
2022-06-17,1.7926,1.891,1.7926,1.8158,183724951
2022-06-20,1.8082,1.8812,1.808,1.8746,115513335
2022-06-21,1.89,1.934,1.8756,1.8804,130801924
2022-06-22,1.8532,1.9114,1.844,1.8874,121425894
2022-06-23,1.8838,1.9018,1.8282,1.8414,160172323
2022-06-24,1.8514,1.892,1.8352,1.8856,123889291
2022-06-27,1.94,1.955,1.888,1.8976,153361883
2022-06-28,1.9048,1.9358,1.9,1.9008,119058717
2022-06-29,1.878,1.8978,1.8658,1.8712,89615242
2022-06-30,1.842,1.846,1.7596,1.7878,191632990
2022-07-01,1.7598,1.7934,1.7386,1.7626,145249154
2022-07-04,1.7734,1.7734,1.7024,1.727,154575686
2022-07-05,1.7358,1.7526,1.668,1.6708,148776059
2022-07-06,1.6986,1.7134,1.6582,1.6804,137970259
2022-07-07,1.7032,1.7498,1.6866,1.7468,123467806
2022-07-08,1.7456,1.777,1.7232,1.7676,115118431
2022-07-11,1.7384,1.7664,1.7188,1.736,107729922
2022-07-12,1.71,1.7202,1.662,1.7074,167558984
2022-07-13,1.6944,1.7134,1.6774,1.701,118527002
2022-07-14,1.6668,1.6726,1.6058,1.6162,180321391
2022-07-15,1.6094,1.6628,1.588,1.6374,179416959
2022-07-18,1.6612,1.7046,1.6398,1.676,155888885
2022-07-19,1.6698,1.7764,1.6638,1.7732,154778580
2022-07-20,1.7854,1.8136,1.7014,1.7042,191360856
2022-07-21,1.653,1.6996,1.5842,1.663,304504629
2022-07-22,1.6626,1.69,1.644,1.6596,172013154
2022-07-25,1.659,1.7016,1.657,1.6848,108135935
2022-07-26,1.6906,1.6906,1.65,1.661,106098100
2022-07-27,1.6708,1.6856,1.6468,1.6752,133013972
2022-07-28,1.695,1.7312,1.6932,1.7124,129463584
2022-07-29,1.736,1.7556,1.7172,1.7196,175136018
2022-08-01,1.7364,1.7766,1.729,1.7534,115899568
2022-08-02,1.75,1.7686,1.7322,1.7554,103976157
2022-08-03,1.7566,1.7764,1.7506,1.7716,94897964
2022-08-04,1.7802,1.794,1.7636,1.78,114666943
2022-08-05,1.7802,1.8246,1.7802,1.8142,101394530
2022-08-08,1.818,1.8326,1.791,1.8188,83084889
2022-08-09,1.8102,1.833,1.8074,1.8138,68422868
2022-08-10,1.8132,1.8354,1.8086,1.834,89351671
2022-08-11,1.8522,1.8522,1.829,1.84,82155719
2022-08-12,1.841,1.859,1.841,1.8528,87610595
2022-08-16,1.853,1.8648,1.8298,1.8512,86531745
2022-08-17,1.8584,1.8676,1.822,1.8264,105827577
2022-08-18,1.8232,1.8432,1.8232,1.832,79187184
2022-08-19,1.8224,1.823,1.7662,1.7718,122472861
2022-08-22,1.7512,1.757,1.7,1.7098,118900482
2022-08-23,1.7062,1.7632,1.7042,1.7502,119281295
2022-08-24,1.737,1.765,1.7288,1.7638,95507811
2022-08-25,1.777,1.779,1.729,1.7422,150220710
2022-08-26,1.7444,1.7546,1.6832,1.6878,143345418
2022-08-29,1.67,1.7046,1.66,1.697,94833257
2022-08-30,1.7066,1.7612,1.7056,1.7278,124624096
2022-08-31,1.742,1.7548,1.7124,1.7232,103121402
2022-09-01,1.7114,1.7158,1.6856,1.6952,110933065
2022-09-02,1.7088,1.7424,1.7018,1.7392,115166077
2022-09-05,1.697,1.7024,1.6728,1.6994,100568905
2022-09-06,1.697,1.7212,1.6888,1.7048,92177900
2022-09-07,1.6806,1.706,1.6806,1.7016,103707150
2022-09-08,1.719,1.753,1.6896,1.7374,151670427
2022-09-09,1.755,1.8386,1.754,1.8298,167335589
2022-09-12,1.852,1.9064,1.8484,1.8966,149206466
2022-09-13,1.8938,1.9258,1.8734,1.8828,104073041
2022-09-14,1.869,1.9148,1.86,1.8984,97288783
